date,bdi
2015-07-29,24619.45
2015-07-30,24497.98
2015-07-31,24636.28
2015-08-03,24411.42
2015-08-04,24406.12
2015-08-05,24514.16
2015-08-06,24375.28
2015-08-07,24552.47
2015-08-10,24521.12
2015-08-11,24498.21
2015-08-12,23916.02
2015-08-13,24018.8
2015-08-14,23991.03
2015-08-17,23814.65
2015-08-18,23474.97
2015-08-19,23167.85
2015-08-20,22757.47
2015-08-21,22409.62
2015-08-24,21251.57
2015-08-25,21404.96
2015-08-26,21080.39
2015-08-27,21838.54
2015-08-28,21612.39
2015-08-31,21670.58
2015-09-01,21185.43
2015-09-02,20934.94
2015-09-03,20934.94
2015-09-04,20840.61
2015-09-07,20583.5195
2015-09-08,21259.04
2015-09-09,22131.31
2015-09-10,21562.5
2015-09-11,21504.37
2015-09-14,21561.9
2015-09-15,21455.23
2015-09-16,21966.66
2015-09-17,21854.63
2015-09-18,21920.83
2015-09-21,21756.93
2015-09-22,21796.58
2015-09-23,21302.91
2015-09-24,21095.98
2015-09-25,21186.32
2015-09-29,20556.6
2015-09-30,20846.3
2015-10-02,21506.09
2015-10-05,21854.5
2015-10-06,21831.62
2015-10-07,22515.76
2015-10-08,22354.91
2015-10-09,22458.8
2015-10-12,22730.93
2015-10-13,22600.46
2015-10-14,22439.91
2015-10-15,22888.17
2015-10-16,23067.37
2015-10-19,23075.61
2015-10-20,22989.22
2015-10-22,22845.37
2015-10-23,23151.94
2015-10-26,23116.25
2015-10-27,23142.73
2015-10-28,22956.57
2015-10-29,22819.94
2015-10-30,22640.04
2015-11-02,22370.04
2015-11-03,22568.43
2015-11-04,23053.57
2015-11-05,23051.04
2015-11-06,22867.33
2015-11-09,22726.77
2015-11-10,22401.7
2015-11-11,22352.17
2015-11-12,22888.92
2015-11-13,22396.14
2015-11-16,22010.82
2015-11-17,22264.25
2015-11-18,22188.26
2015-11-19,22500.22
2015-11-20,22754.72
2015-11-23,22665.9
2015-11-24,22587.63
2015-11-25,22498.0
2015-11-26,22488.9395
2015-11-27,22068.32
2015-11-30,21996.42
2015-12-01,22381.35
2015-12-02,22479.69
2015-12-03,22417.01
2015-12-04,22235.89
2015-12-07,22203.22
2015-12-08,21905.13
2015-12-09,21803.76
2015-12-10,21704.61
2015-12-11,21464.05
2015-12-14,21309.85
2015-12-15,21274.37
2015-12-16,21701.21
2015-12-17,21872.06
2015-12-18,21755.56
2015-12-21,21791.68
2015-12-22,21830.02
2015-12-23,22040.59
2015-12-24,22138.13
2015-12-28,21919.62
2015-12-29,21999.62
2015-12-30,21882.15
2015-12-31,21914.4
2016-01-04,21327.12
2016-01-05,21188.72
2016-01-06,20980.81
2016-01-07,20333.34
2016-01-08,20453.71
2016-01-11,19888.5
2016-01-12,19711.76
2016-01-13,19934.88
2016-01-14,19817.41
2016-01-15,19520.77
2016-01-18,19237.4492
2016-01-19,19635.81
2016-01-20,18886.3
2016-01-21,18542.15
2016-01-22,19080.51
2016-01-25,19340.14
2016-01-26,18860.8
2016-01-27,19052.45
2016-01-28,19195.83
2016-01-29,19683.11
2016-02-01,19595.5
2016-02-02,19446.84
2016-02-03,18991.59
2016-02-04,19183.09
2016-02-05,19288.17
2016-02-11,18545.8
2016-02-12,18319.58
2016-02-15,18918.1406
2016-02-16,19122.08
2016-02-17,18924.57
2016-02-18,19363.08
2016-02-19,19285.5
2016-02-22,19464.09
2016-02-23,19414.78
2016-02-24,19192.45
2016-02-25,18888.75
2016-02-26,19364.15
2016-02-29,19111.93
2016-03-01,19407.46
2016-03-02,20003.49
2016-03-03,19941.76
2016-03-04,20176.7
2016-03-07,20159.72
2016-03-08,20011.58
2016-03-09,19996.26
2016-03-10,19984.42
2016-03-11,20199.6
2016-03-14,20435.34
2016-03-15,20288.77
2016-03-16,20257.7
2016-03-17,20503.81
2016-03-18,20671.63
2016-03-21,20684.15
2016-03-22,20666.75
2016-03-23,20615.23
2016-03-24,20345.61
2016-03-29,20366.3
2016-03-30,20803.39
2016-03-31,20776.7
2016-04-01,20498.92
2016-04-04,20498.9199
2016-04-05,20177.0
2016-04-06,20206.67
2016-04-07,20266.05
2016-04-08,20370.4
2016-04-11,20440.81
2016-04-12,20504.44
2016-04-13,21158.71
2016-04-14,21337.81
2016-04-15,21316.47
2016-04-18,21161.5
2016-04-19,21436.21
2016-04-20,21236.31
2016-04-21,21622.25
2016-04-22,21467.04
2016-04-25,21304.44
2016-04-26,21407.27
2016-04-27,21361.6
2016-04-28,21388.03
2016-04-29,21067.05
2016-05-03,20676.94
2016-05-04,20525.83
2016-05-05,20449.82
2016-05-06,20109.87
2016-05-09,20156.81
2016-05-10,20242.68
2016-05-11,20055.29
2016-05-12,19915.46
2016-05-13,19719.29
2016-05-16,19883.95
2016-05-17,20118.8
2016-05-18,19826.41
2016-05-19,19694.33
2016-05-20,19852.2
2016-05-23,19809.03
2016-05-24,19830.43
2016-05-25,20368.05
2016-05-26,20397.11
2016-05-27,20576.77
2016-05-30,20629.3906
2016-05-31,20815.09
2016-06-01,20760.98
2016-06-02,20859.22
2016-06-03,20947.24
2016-06-06,21030.22
2016-06-07,21328.24
2016-06-08,21297.88
2016-06-10,21042.64
2016-06-13,20512.99
2016-06-14,20387.53
2016-06-15,20467.52
2016-06-16,20038.42
2016-06-17,20169.98
2016-06-20,20510.2
2016-06-21,20668.44
2016-06-22,20795.12
2016-06-23,20868.34
2016-06-24,20259.13
2016-06-27,20227.3
2016-06-28,20172.46
2016-06-29,20436.12
2016-06-30,20794.37
2016-07-04,21059.1992
2016-07-05,20750.72
2016-07-06,20495.29
2016-07-07,20706.92
2016-07-08,20564.17
2016-07-11,20880.5
2016-07-12,21224.74
2016-07-13,21322.37
2016-07-14,21561.06
2016-07-15,21659.25
2016-07-18,21803.18
2016-07-19,21673.2
2016-07-20,21882.48
2016-07-21,22000.49
2016-07-22,21964.27
2016-07-25,21993.44
2016-07-26,22129.73
2016-07-27,22218.99
2016-07-28,22174.34
2016-07-29,21891.37
2016-08-01,22129.14
2016-08-03,21739.12
2016-08-04,21832.23
2016-08-05,22146.09
2016-08-08,22494.76
2016-08-09,22465.61
2016-08-10,22492.43
2016-08-11,22580.55
2016-08-12,22766.91
2016-08-15,22932.51
2016-08-16,22910.84
2016-08-17,22799.78
2016-08-18,23023.16
2016-08-19,22937.22
2016-08-22,22997.91
2016-08-23,22998.93
2016-08-24,22820.78
2016-08-25,22826.87
2016-08-26,22909.54
2016-08-29,22821.34
2016-08-30,23016.11
2016-08-31,22976.88
2016-09-01,23162.34
2016-09-02,23266.7
2016-09-05,23649.5508
2016-09-06,23787.68
2016-09-07,23741.81
2016-09-08,23919.34
2016-09-09,24099.7
2016-09-12,23290.6
2016-09-13,23215.76
2016-09-14,23190.64
2016-09-15,23335.59
2016-09-19,23550.45
2016-09-20,23530.86
2016-09-21,23669.9
2016-09-22,23759.8
2016-09-23,23686.48
2016-09-26,23317.92
2016-09-27,23571.9
2016-09-28,23619.65
2016-09-29,23739.47
2016-09-30,23297.15
2016-10-03,23584.43
2016-10-04,23689.44
2016-10-05,23788.31
2016-10-06,23952.5
2016-10-07,23851.82
2016-10-11,23549.52
2016-10-12,23407.05
2016-10-13,23031.3
2016-10-14,23233.31
2016-10-17,23037.54
2016-10-18,23394.39
2016-10-19,23304.97
2016-10-20,23374.4
2016-10-24,23604.08
2016-10-25,23565.11
2016-10-26,23325.43
2016-10-27,23132.35
2016-10-28,22954.81
2016-10-31,22934.54
2016-11-01,23147.07
2016-11-02,22810.5
2016-11-03,22683.51
2016-11-04,22642.62
2016-11-07,22801.4
2016-11-08,22909.47
2016-11-09,22415.19
2016-11-10,22839.11
2016-11-11,22531.09
2016-11-14,22222.22
2016-11-15,22323.91
2016-11-16,22280.53
2016-11-17,22262.88
2016-11-18,22344.21
2016-11-21,22357.78
2016-11-22,22678.07
2016-11-23,22676.69
2016-11-24,22608.4902
2016-11-25,22723.45
2016-11-28,22830.57
2016-11-29,22737.07
2016-11-30,22789.77
2016-12-01,22878.23
2016-12-02,22564.82
2016-12-05,22505.55
2016-12-06,22675.15
2016-12-07,22800.92
2016-12-08,22861.84
2016-12-09,22760.98
2016-12-12,22433.02
2016-12-13,22446.7
2016-12-14,22456.62
2016-12-15,22059.4
2016-12-16,22020.75
2016-12-19,21832.68
2016-12-20,21729.06
2016-12-21,21809.8
2016-12-22,21636.2
2016-12-23,21574.76
2016-12-28,21754.74
2016-12-29,21790.91
2016-12-30,22000.56
2017-01-03,22150.4
2017-01-04,22134.47
2017-01-05,22456.69
2017-01-06,22503.01
2017-01-09,22558.69
2017-01-10,22744.85
2017-01-11,22935.35
2017-01-12,22829.02
2017-01-13,22937.38
2017-01-16,22718.1504
2017-01-17,22840.97
2017-01-18,23098.26
2017-01-19,23049.96
2017-01-20,22885.91
2017-01-23,22898.52
2017-01-24,22949.86
2017-01-25,23049.12
2017-01-26,23374.17
2017-01-27,23360.78
2017-02-01,23318.39
2017-02-02,23184.52
2017-02-03,23129.21
2017-02-06,23348.24
2017-02-07,23331.57
2017-02-08,23485.13
2017-02-09,23525.14
2017-02-10,23574.98
2017-02-13,23710.98
2017-02-14,23703.01
2017-02-15,23994.87
2017-02-16,24107.7
2017-02-17,24033.74
2017-02-20,24146.0801
2017-02-21,23963.63
2017-02-22,24201.96
2017-02-23,24114.86
2017-02-24,23965.7
2017-02-27,23925.05
2017-02-28,23740.73
2017-03-01,23776.49
2017-03-02,23728.07
2017-03-03,23552.72
2017-03-06,23596.28
2017-03-07,23681.07
2017-03-08,23782.27
2017-03-09,23501.56
2017-03-10,23568.67
2017-03-13,23829.67
2017-03-14,23827.95
2017-03-15,23792.85
2017-03-16,24288.28
2017-03-17,24309.93
2017-03-20,24501.99
2017-03-21,24593.12
2017-03-22,24320.41
2017-03-23,24327.7
2017-03-24,24358.27
2017-03-27,24193.7
2017-03-28,24345.87
2017-03-29,24392.05
2017-03-30,24301.09
2017-03-31,24111.59
2017-04-03,24261.48
2017-04-05,24400.8
2017-04-06,24273.72
2017-04-07,24267.3
2017-04-10,24262.18
2017-04-11,24088.46
2017-04-12,24313.5
2017-04-13,24261.66
2017-04-18,23924.54
2017-04-19,23825.88
2017-04-20,24056.98
2017-04-21,24042.02
2017-04-24,24139.48
2017-04-25,24455.94
2017-04-26,24578.43
2017-04-27,24698.48
2017-04-28,24615.13
2017-05-02,24696.13
2017-05-04,24683.88
2017-05-05,24476.35
2017-05-08,24577.91
2017-05-09,24889.03
2017-05-10,25015.42
2017-05-11,25125.55
2017-05-12,25156.34
2017-05-15,25371.59
2017-05-16,25335.94
2017-05-17,25293.63
2017-05-18,25136.52
2017-05-19,25174.87
2017-05-22,25391.34
2017-05-23,25403.15
2017-05-24,25428.5
2017-05-25,25630.78
2017-05-26,25639.27
2017-05-29,25701.63
2017-05-31,25660.65
2017-06-01,25809.22
2017-06-02,25924.05
2017-06-05,25862.99
2017-06-06,25997.14
2017-06-07,25974.16
2017-06-08,26063.06
2017-06-09,26030.29
2017-06-12,25708.04
2017-06-13,25852.1
2017-06-14,25875.9
2017-06-15,25565.34
2017-06-16,25626.49
2017-06-19,25924.55
2017-06-20,25843.04
2017-06-21,25694.58
2017-06-22,25674.53
2017-06-23,25670.05
2017-06-26,25871.89
2017-06-27,25839.99
2017-06-28,25683.5
2017-06-29,25965.42
2017-06-30,25764.58
2017-07-03,25784.17
2017-07-04,25389.01
2017-07-05,25521.97
2017-07-06,25465.22
2017-07-07,25340.85
2017-07-10,25500.06
2017-07-11,25877.64
2017-07-12,26043.64
2017-07-13,26346.17
2017-07-14,26389.23
2017-07-17,26470.58
2017-07-18,26524.94
2017-07-19,26672.16
2017-07-20,26740.21
2017-07-21,26706.09
2017-07-24,26846.83
2017-07-25,26852.05
2017-07-26,26941.02
2017-07-27,27131.17
2017-07-28,26979.39
2017-07-31,27323.99
2017-08-01,27540.23
2017-08-02,27607.38
2017-08-03,27531.01
2017-08-04,27562.68
2017-08-07,27690.36
2017-08-08,27854.91
2017-08-09,27757.09
2017-08-10,27444.0
2017-08-11,26883.51
2017-08-14,27250.23
2017-08-15,27174.96
2017-08-16,27409.07
2017-08-17,27344.22
2017-08-18,27047.57
2017-08-21,27154.68
2017-08-22,27401.67
2017-08-24,27518.6
2017-08-25,27848.16
2017-08-28,27863.29
2017-08-29,27765.01
2017-08-30,28094.61
2017-08-31,27970.3
2017-09-01,27953.16
2017-09-05,27741.35
2017-09-06,27613.76
2017-09-07,27522.92
2017-09-08,27668.47
2017-09-11,27955.13
2017-09-12,27972.24
2017-09-13,27894.08
2017-09-14,27777.2
2017-09-15,27807.59
2017-09-18,28159.77
2017-09-19,28051.41
2017-09-20,28127.8
2017-09-21,28110.33
2017-09-22,27880.53
2017-09-25,27500.34
2017-09-26,27513.01
2017-09-27,27642.43
2017-09-28,27421.6
2017-09-29,27554.3
2017-10-03,28173.21
2017-10-04,28379.18
2017-10-06,28458.04
2017-10-09,28326.59
2017-10-10,28490.83
2017-10-11,28389.57
2017-10-12,28459.03
2017-10-13,28476.43
2017-10-16,28692.8
2017-10-17,28697.49
2017-10-18,28711.76
2017-10-19,28159.09
2017-10-20,28487.24
2017-10-23,28305.88
2017-10-24,28154.97
2017-10-25,28302.89
2017-10-26,28202.38
2017-10-27,28438.85
2017-10-30,28336.19
2017-10-31,28245.54
2017-11-01,28594.06
2017-11-02,28518.64
2017-11-03,28603.61
2017-11-06,28596.8
2017-11-07,28994.34
2017-11-08,28907.6
2017-11-09,29136.57
2017-11-10,29120.92
2017-11-13,29182.18
2017-11-14,29152.12
2017-11-15,28851.69
2017-11-16,29018.76
2017-11-17,29199.04
2017-11-21,29818.07
2017-11-22,30003.49
2017-11-24,29866.32
2017-11-27,29686.19
2017-11-28,29680.85
2017-11-29,29623.83
2017-11-30,29177.35
2017-12-01,29074.24
2017-12-04,29138.28
2017-12-05,28842.8
2017-12-06,28224.8
2017-12-07,28303.19
2017-12-08,28639.85
2017-12-11,28965.29
2017-12-12,28793.88
2017-12-13,29222.1
2017-12-14,29166.38
2017-12-15,28848.11
2017-12-18,29050.41
2017-12-19,29253.66
2017-12-20,29234.09
2017-12-21,29367.06
2017-12-22,29578.01
2017-12-27,29597.66
2017-12-28,29863.71
2017-12-29,29919.15
2018-01-02,30515.31
2018-01-03,30560.95
2018-01-04,30736.48
2018-01-05,30814.64
2018-01-08,30899.53
2018-01-09,31011.41
2018-01-10,31073.72
2018-01-11,31120.39
2018-01-12,31412.54
2018-01-16,31904.75
2018-01-17,31983.41
2018-01-18,32121.94
2018-01-19,32254.89
2018-01-22,32393.41
2018-01-23,32930.7
2018-01-24,32958.69
2018-01-25,32654.45
2018-01-26,33154.12
2018-01-29,32966.89
2018-01-30,32607.29
2018-01-31,32887.27
2018-02-01,32642.09
2018-02-02,32601.78
2018-02-05,32245.22
2018-02-06,30595.42
2018-02-07,30323.2
2018-02-08,30451.27
2018-02-09,29507.42
2018-02-12,29459.63
2018-02-13,29839.53
2018-02-14,30515.6
2018-02-15,31115.43
2018-02-20,30873.63
2018-02-21,31431.89
2018-02-22,30965.68
2018-02-23,31267.17
2018-02-26,31498.6
2018-02-27,31268.66
2018-02-28,30844.72
2018-03-01,31044.25
2018-03-02,30583.45
2018-03-05,29886.39
2018-03-06,30510.73
2018-03-07,30196.92
2018-03-08,30654.52
2018-03-09,30996.21
2018-03-12,31594.33
2018-03-13,31601.45
2018-03-14,31435.01
2018-03-15,31541.1
2018-03-16,31501.97
2018-03-19,31513.76
2018-03-20,31549.93
2018-03-21,31414.52
2018-03-22,31071.05
2018-03-23,30309.29
2018-03-26,30548.77
2018-03-27,30790.83
2018-03-28,30022.53
2018-03-29,30093.38
2018-04-03,30180.1
2018-04-04,29518.69
2018-04-06,29844.94
2018-04-09,30229.58
2018-04-10,30728.74
2018-04-11,30897.71
2018-04-12,30831.28
2018-04-13,30808.38
2018-04-16,30315.59
2018-04-17,30062.75
2018-04-18,30284.25
2018-04-19,30708.44
2018-04-20,30418.33
2018-04-23,30254.4
2018-04-24,30636.24
2018-04-25,30328.15
2018-04-26,30007.68
2018-04-27,30280.67
2018-04-30,30808.45
2018-05-02,30723.88
2018-05-03,30313.37
2018-05-04,29926.5
2018-05-07,29994.26
2018-05-08,30402.81
2018-05-09,30536.14
2018-05-10,30809.22
2018-05-11,31122.06
2018-05-14,31541.08
2018-05-15,31152.03
2018-05-16,31110.2
2018-05-17,30942.15
2018-05-18,31047.91
2018-05-21,31234.35
2018-05-23,30665.64
2018-05-24,30760.41
2018-05-25,30588.04
2018-05-29,30484.58
2018-05-30,30056.79
2018-05-31,30468.56
2018-06-01,30492.91
2018-06-04,30997.98
2018-06-05,31093.45
2018-06-06,31259.1
2018-06-07,31512.63
2018-06-08,30958.21
2018-06-11,31063.7
2018-06-12,31103.06
2018-06-13,30725.15
2018-06-14,30440.17
2018-06-15,30309.49
2018-06-19,29468.15
2018-06-20,29696.17
2018-06-21,29296.05
2018-06-22,29338.7
2018-06-25,28961.39
2018-06-26,28881.4
2018-06-27,28356.26
2018-06-28,28497.32
2018-06-29,28955.11
2018-07-03,28545.57
2018-07-05,28182.09
2018-07-06,28315.62
2018-07-09,28688.5
2018-07-10,28682.25
2018-07-11,28311.69
2018-07-12,28480.83
2018-07-13,28525.44
2018-07-16,28539.66
2018-07-17,28181.68
2018-07-18,28117.42
2018-07-19,28010.86
2018-07-20,28224.48
2018-07-23,28256.12
2018-07-24,28662.57
2018-07-25,28920.9
2018-07-26,28781.14
2018-07-27,28804.28
2018-07-30,28733.13
2018-07-31,28583.01
2018-08-01,28340.74
2018-08-02,27714.56
2018-08-03,27676.32
2018-08-06,27819.56
2018-08-07,28248.88
2018-08-08,28359.14
2018-08-09,28607.3
2018-08-10,28366.62
2018-08-13,27936.57
2018-08-14,27752.93
2018-08-15,27323.59
2018-08-16,27100.06
2018-08-17,27213.41
2018-08-20,27598.02
2018-08-21,27752.79
2018-08-22,27927.58
2018-08-23,27790.46
2018-08-24,27671.87
2018-08-27,28271.27
2018-08-28,28351.62
2018-08-29,28416.44
2018-08-30,28164.05
2018-08-31,27888.55
2018-09-04,27973.34
2018-09-05,27243.85
2018-09-06,26974.82
2018-09-07,26973.47
2018-09-10,26613.42
2018-09-11,26422.55
2018-09-12,26345.04
2018-09-13,27014.49
2018-09-14,27286.41
2018-09-17,26932.85
2018-09-18,27084.66
2018-09-19,27407.37
2018-09-20,27477.67
2018-09-21,27953.58
2018-09-24,27499.39
2018-09-26,27816.87
2018-09-27,27715.67
2018-09-28,27788.52
2018-10-02,27126.38
2018-10-03,27091.26
2018-10-04,26623.87
2018-10-05,26572.57
2018-10-08,26202.57
2018-10-09,26172.91
2018-10-10,26193.07
2018-10-11,25266.37
2018-10-12,25801.49
2018-10-15,25445.06
2018-10-16,25462.26
2018-10-18,25454.55
2018-10-19,25561.4
2018-10-22,26153.15
2018-10-23,25346.55
2018-10-24,25249.78
2018-10-25,24994.46
2018-10-26,24717.63
2018-10-29,24812.04
2018-10-30,24585.53
2018-10-31,24979.69
2018-11-01,25416.0
2018-11-02,26486.35
2018-11-05,25934.39
2018-11-06,26120.96
2018-11-07,26147.69
2018-11-08,26227.72
2018-11-09,25601.92
2018-11-12,25633.18
2018-11-13,25792.87
2018-11-14,25654.43
2018-11-15,26103.34
2018-11-16,26183.53
2018-11-19,26372.0
2018-11-20,25840.34
2018-11-21,25971.47
2018-11-23,25927.68
2018-11-26,26376.18
2018-11-27,26331.96
2018-11-28,26682.56
2018-11-29,26451.03
2018-11-30,26506.75
2018-12-03,27182.04
2018-12-04,27260.44
2018-12-05,26819.68
2018-12-06,26156.38
2018-12-07,26063.76
2018-12-10,25752.38
2018-12-11,25771.67
2018-12-12,26186.71
2018-12-13,26524.35
2018-12-14,26094.79
2018-12-17,26087.98
2018-12-18,25814.25
2018-12-19,25865.39
2018-12-20,25623.53
2018-12-21,25753.42
2018-12-24,25651.38
2018-12-27,25478.88
2018-12-28,25504.2
2018-12-31,25845.7
2019-01-02,25130.35
2019-01-03,25064.36
2019-01-04,25626.03
2019-01-07,25835.7
2019-01-08,25875.45
2019-01-09,26462.32
2019-01-10,26521.43
2019-01-11,26667.27
2019-01-14,26298.33
2019-01-15,26830.29
2019-01-16,26902.1
2019-01-17,26755.63
2019-01-18,27090.81
2019-01-22,27005.45
2019-01-23,27008.2
2019-01-24,27120.98
2019-01-25,27569.19
2019-01-28,27576.96
2019-01-29,27531.68
2019-01-30,27642.85
2019-01-31,27942.47
2019-02-01,27930.74
2019-02-04,27990.21
2019-02-08,27946.32
2019-02-11,28143.84
2019-02-12,28171.33
2019-02-13,28497.59
2019-02-14,28432.05
2019-02-15,27900.84
2019-02-19,28228.13
2019-02-20,28514.05
2019-02-21,28629.92
2019-02-22,28816.3
2019-02-25,28959.3
2019-02-26,28772.06
2019-02-27,28757.44
2019-02-28,28633.18
2019-03-01,28812.17
2019-03-04,28959.59
2019-03-05,28961.6
2019-03-06,29037.6
2019-03-07,28779.45
2019-03-08,28228.42
2019-03-11,28503.3
2019-03-12,28920.87
2019-03-13,28807.45
2019-03-14,28851.39
2019-03-15,29012.26
2019-03-18,29409.01
2019-03-19,29466.28
2019-03-20,29320.97
2019-03-21,29071.56
2019-03-22,29113.36
2019-03-25,28523.35
2019-03-26,28566.91
2019-03-27,28728.25
2019-03-28,28775.21
2019-03-29,29051.36
2019-04-01,29562.02
2019-04-02,29624.67
2019-04-03,29986.39
2019-04-04,29936.32
2019-04-08,30077.15
2019-04-09,30157.49
2019-04-10,30119.56
2019-04-11,29839.45
2019-04-12,29909.76
2019-04-15,29810.72
2019-04-16,30129.87
2019-04-17,30124.68
2019-04-18,29963.26
2019-04-23,29963.24
2019-04-24,29805.83
2019-04-25,29549.8
2019-04-26,29605.01
2019-04-29,29892.81
2019-04-30,29699.11
2019-05-02,29944.18
2019-05-03,30081.55
2019-05-06,29209.82
2019-05-07,29363.02
2019-05-08,29003.2
2019-05-09,28311.07
2019-05-10,28550.24
2019-05-14,28122.02
2019-05-15,28268.71
2019-05-16,28275.07
2019-05-17,27946.46
2019-05-20,27787.61
2019-05-21,27657.24
2019-05-22,27705.94
2019-05-23,27267.13
2019-05-24,27353.93
2019-05-28,27390.81
2019-05-29,27235.71
2019-05-30,27114.88
2019-05-31,26901.09
2019-06-03,26893.86
2019-06-04,26761.52
2019-06-05,26895.44
2019-06-06,26965.28
2019-06-10,27578.64
2019-06-11,27789.34
2019-06-12,27308.46
2019-06-13,27294.71
2019-06-14,27118.35
2019-06-17,27227.16
2019-06-18,27498.77
2019-06-19,28202.14
2019-06-20,28550.43
2019-06-21,28473.71
2019-06-24,28513.0
2019-06-25,28185.98
2019-06-26,28221.98
2019-06-27,28621.42
2019-06-28,28542.62
2019-07-02,28875.56
2019-07-03,28855.14
2019-07-05,28774.83
2019-07-08,28331.69
2019-07-09,28116.28
2019-07-10,28204.69
2019-07-11,28431.8
2019-07-12,28471.62
2019-07-15,28554.88
2019-07-16,28619.62
2019-07-17,28593.17
2019-07-18,28461.66
2019-07-19,28765.4
2019-07-22,28371.26
2019-07-23,28466.48
2019-07-24,28524.04
2019-07-25,28594.3
2019-07-26,28397.74
2019-07-29,28106.41
2019-07-30,28146.5
2019-07-31,27777.75
2019-08-01,27565.7
2019-08-02,26918.58
2019-08-05,26151.32
2019-08-06,25976.24
2019-08-07,25997.03
2019-08-08,26120.77
2019-08-09,25939.3
2019-08-12,25824.72
2019-08-13,25281.3
2019-08-14,25302.28
2019-08-15,25495.46
2019-08-16,25734.22
2019-08-19,26291.84
2019-08-20,26231.54
2019-08-21,26270.04
2019-08-22,26048.72
2019-08-23,26179.33
2019-08-26,25680.33
2019-08-27,25664.07
2019-08-28,25615.48
2019-08-29,25703.5
2019-08-30,25724.73
2019-09-03,25527.85
2019-09-04,26523.23
2019-09-05,26515.53
2019-09-06,26690.76
2019-09-09,26681.4
2019-09-10,26683.68
2019-09-11,27159.06
2019-09-12,27087.63
2019-09-13,27352.69
2019-09-16,27124.55
2019-09-17,26790.24
2019-09-18,26754.12
2019-09-19,26468.95
2019-09-20,26435.67
2019-09-23,26222.4
2019-09-24,26281.0
2019-09-25,25945.35
2019-09-26,26041.93
2019-09-27,25954.81
2019-09-30,26092.27
2019-10-02,26042.69
2019-10-03,26110.31
2019-10-04,25821.03
2019-10-08,25893.4
2019-10-09,25682.81
2019-10-10,25707.93
2019-10-11,26308.44
2019-10-14,26521.85
2019-10-15,26503.93
2019-10-16,26664.28
2019-10-17,26848.49
2019-10-18,26719.58
2019-10-21,26725.68
2019-10-22,26786.2
2019-10-23,26566.73
2019-10-24,26797.95
2019-10-25,26667.39
2019-10-28,26891.26
2019-10-29,26786.76
2019-10-30,26667.71
2019-10-31,26906.72
2019-11-01,27100.76
2019-11-04,27547.3
2019-11-05,27683.4
2019-11-06,27688.64
2019-11-07,27847.23
2019-11-08,27651.14
2019-11-11,26926.55
2019-11-12,27065.28
2019-11-13,26571.46
2019-11-14,26323.69
2019-11-15,26326.66
2019-11-18,26681.09
2019-11-19,27093.8
2019-11-20,26889.61
2019-11-21,26466.88
2019-11-22,26595.08
2019-11-25,26993.04
2019-11-26,26913.92
2019-11-27,26954.0
2019-11-29,26346.49
2019-12-02,26444.72
2019-12-03,26391.3
2019-12-04,26062.56
2019-12-05,26217.04
2019-12-06,26498.37
2019-12-09,26494.73
2019-12-10,26436.62
2019-12-11,26645.43
2019-12-12,26994.14
2019-12-13,27687.76
2019-12-16,27508.09
2019-12-17,27843.71
2019-12-18,27884.21
2019-12-19,27800.49
2019-12-20,27871.35
2019-12-23,27906.41
2019-12-24,27864.21
2019-12-27,28225.42
2019-12-30,28319.39
2019-12-31,28189.75
2020-01-02,28543.52
2020-01-03,28451.5
2020-01-06,28226.19
2020-01-07,28322.06
2020-01-08,28087.92
2020-01-09,28561.0
2020-01-10,28638.2
2020-01-13,28954.94
2020-01-14,28885.14
2020-01-15,28773.59
2020-01-16,28883.04
2020-01-17,29056.42
2020-01-21,27985.33
2020-01-22,28341.04
2020-01-23,27909.12
2020-01-24,27949.64
2020-01-29,27160.63
2020-01-30,26449.13
2020-01-31,26312.63
2020-02-03,26356.98
2020-02-04,26675.98
2020-02-05,26786.74
2020-02-06,27493.7
2020-02-07,27404.27
2020-02-10,27241.34
2020-02-11,27583.88
2020-02-12,27823.66
2020-02-13,27730.0
2020-02-14,27815.6
2020-02-18,27530.2
2020-02-19,27655.81
2020-02-20,27609.16
2020-02-21,27308.81
2020-02-24,26820.88
2020-02-25,26893.23
2020-02-26,26696.49
2020-02-27,26778.62
2020-02-28,26129.93
2020-03-02,26291.68
2020-03-03,26284.82
2020-03-04,26222.07
2020-03-05,26767.87
2020-03-06,26146.67
2020-03-09,25040.46
2020-03-10,25392.51
2020-03-11,25231.61
2020-03-12,24309.07
2020-03-13,24032.91
2020-03-16,23063.57
2020-03-17,23263.73
2020-03-18,22291.82
2020-03-19,21709.13
2020-03-20,22805.07
2020-03-23,21696.13
2020-03-24,22663.49
2020-03-25,23527.19
2020-03-26,23352.34
2020-03-27,23484.28
2020-03-30,23175.11
2020-03-31,23603.48
2020-04-01,23085.79
2020-04-02,23280.06
2020-04-03,23236.11
2020-04-06,23749.12
2020-04-07,24253.29
2020-04-08,23970.37
2020-04-09,24300.33
2020-04-14,24435.4
2020-04-15,24145.34
2020-04-16,24006.45
2020-04-17,24380.0
2020-04-20,24330.02
2020-04-21,23793.55
2020-04-22,23893.36
2020-04-23,23977.32
2020-04-24,23831.33
2020-04-27,24280.14
2020-04-28,24575.96
2020-04-29,24643.59
2020-05-04,23613.8
2020-05-05,23868.66
2020-05-06,24137.48
2020-05-07,23980.63
2020-05-08,24230.17
2020-05-11,24602.06
2020-05-12,24245.68
2020-05-13,24180.3
